username,lemmatized_text,extract_hashtags,labels
chebormamba,  wrong head back dark day Youre head wrong direction,MaandamanoThursdays,[0.8021429  0.16885544 0.02900157]
kajonee, ,MaandamanoThursdays kisumu Raila,[0.3257778  0.38096133 0.2932608 ]
stephenmuriun11,  Meanwhile ask DEAD ELIJAH Peace Decreed Kenya isnt,MaandamanoThursdays,[0.5426165  0.36488113 0.09250233]
Ndoroboh,  Watu wa karen tunataka maandamano pia hata sisi pesa yetu ya teargas itumike Please baba spare day,MaandamanoThursdays,[0.4990016 0.3231313 0.1778671]
joeamanon,  next chapter Kenya write feature mother n sister help patriot brave teargas revolution,MaandamanoThursdays,[0.26930714 0.361208   0.36948484]
FlavioKim_,  maandamanos hold posh estates looted business one own politician would put measure end instantly saw happen Mondaythey care wise,MaandamanoThursdays,[0.63045275 0.27765754 0.09188965]
kuimary1,  people naiveatin Gwacheni mchezo buana,arrest RailaOdinga,[0.66991067 0.21898945 0.11109985]
muthini2015,  manifestation peaceful maandamano Azimio Coalition play oblivious act rogue demonstrator,MaandamanoThursdays,[0.34851593 0.47602773 0.17545636]
madtraxx,  kid wonder cant work,AConversationMustBeStarted Raila MaandamanoThursday outeringroad KenyaKwanza Azimio,[0.8582798  0.12111394 0.02060619]
BiftuFm,  dead mortuary cry Kisumu demonstrator vandalize morgue today Azimio demonstration,MaandamanoThursdays,[0.6671367  0.26618353 0.06667974]
davisyogi1,  Kenyans Large Enjoy Circus,SupremeCourt RailaOdinga MaandamanoThursdays Ichungwaa,[0.07145365 0.2307843  0.697762  ]
Lmc_89,  united people fight impunity,MaandamanoThursdays,[0.45911703 0.34429026 0.19659267]
MuthokaTito,  Politics gentle art get vote poor campaign fund rich promise protect Oscar Ameringer,Maandamano MaandamanoThursdays,[0.30465156 0.40479144 0.2905571 ]
DjFlamezz_Kenya,  Currently go,Raila MaandamanoThursdays,[0.08286843 0.8410861  0.07604549]
FlavioKim_,  stop Maandamano go people reason high cost live wont find KiberaMathareImara Daima find KarenKileleshwaRunda big estate ( encourage violence though ) inaweza isha day,MaandamanoThursdays,[0.6198494  0.26426595 0.11588467]
MichaelKamauNM3,  Oyugis ResidentsUtelised Using police vehicle grab Anarchy encroach slowly slowly time warThe law fall SILENT,MaandamanoThursdays freedom,[0.8931003  0.09219368 0.01470605]
JoeMbaya,  get point return taxman minimal trader business men tell pointblank go collect tax mau mau decendands whove chest thumb whoever care listen,MaandamanoThursdays,[0.3055732  0.48884064 0.20558621]
leem_alsina254,  Weeuh Alhamdulillah InshaAllah 🤲,RamadhanKareem MaandamanoThursdays PwaniUniversity BreakingNews,[0.02421684 0.12238821 0.853395  ]
Safariboss,  protestors see devil deal,Azimio,[0.5001646  0.39147142 0.10836396]
SanyaNabwana,  go,MaandamanoThursdays Maandamano,[0.3169729  0.37100074 0.31202632]
eva_muchiri,  Arresting bad mistake ’ bound make thing bad everyday,RailaOdinga Maandamano arrest outering Maandamano sifuna arrest,[0.89206505 0.08288237 0.0250526 ]
SanyaNabwana,  camaraderie spirit add much need impetus keep pushingThe water timely deal tear gas effect,MaandamanoThursdays Maandamano,[0.08881919 0.36109093 0.55008984]
OCSleader1,  Pipeline resident si mbarikiwe tu,MaandamanoThursdays,[0.40291467 0.37314034 0.22394496]
NabwanaSanya,  camaraderie spirit add much need impetus keep pushingThe water timely deal tear gas effect,MaandamanoThursdays Maandamano,[0.08881919 0.36109093 0.55008984]
KiguruKimani,  level defiance display plan symptomatic someone make conclusive decision would rather destroy Kenya live reality NEVER President Republic Kenya,azimio Maandamano,[0.93772423 0.04910371 0.01317198]
_gitonga__,  enemy people,MaandamanoThursdays,[0.78773004 0.14404474 0.0682252 ]
ItsMJ254,  Maandamano MUST illegal position occupy others revoke nullify tax use appropriately thank soldier mass hear,MaandamanoThursdays,[0.5882099  0.26419467 0.14759542]
kevoprezzo,  🤣🤣🤣 tha hell Nobody world beat Luos protest Hawa watu hujitolea Gachagua Ruto hatawezana na Hawa watu,MaandamanoThursdays,[0.7086034  0.2091764  0.08222014]
BreakingNewsKE,  JOURNALISTS condemn increase attack colleague Azimio protest several injure today,MaandamanoThursdays,[0.882012   0.09561022 0.02237781]
authenttick,  car shoot criminal police illegal Arrest Raila Odinga youll know Kenyans,Raila Maandamano MaandamanoThursdays,[0.79437006 0.18279822 0.02283175]
HON_GGWACHIRA,  Mondays might country soon need STATESMEN ( deliberately omit woman misogynist ) context mean skilled WISE leader rescue us fire burn us,MaandamanoThursdays,[0.67384315 0.20114996 0.1250069 ]
FlavioKim_,  Lest forget tugege,MaandamanoThursdays,[0.38130903 0.39924097 0.21945   ]
lord_violence2,  difference Uhuru Raila Ruto KalonzoMartha Mudavadi politician theyre political cousin turn,MaandamanoThursdays,[0.34021223 0.4824622  0.17732556]
AlexWatamu,  Supper time Pipeline Kisumu,Raila MaandamanoThursdays Maandamano,[0.08006485 0.86937344 0.05056169]
jamesch08808582,  Today demonstration peaceful untill police officer tear gas unarmed kenyan protest street NairobiOur police officer key perpetrator violence country,MaandamanoThursdays,[0.77102643 0.1735974  0.05537611]
MuthokaTito,  Proof never happen,Maandamano MaandamanoThursdays,[0.5186788  0.40441814 0.07690307]
MuthokaTito,  Nkama mzee aliwambia wampelekee maiti moja🤔,Maandamano MaandamanoThursdays,[0.4491664  0.37864834 0.17218529]
marie_sly,  Mnatumwagia maji ya pink kwani ilikua gender reveal,MaandamanoThursdays,[0.26015627 0.4354864  0.30435732]
kitekimichael,  role play leadership good economy democracy rule law Rest peace |Jacaranda |DP Gachagua |Sakaja |Pope Francis| Gatundu |Nakuru |Kayole| Runda| Edwin Sifuna| Outering Road| Pwani University| Pipeline |William Ruto |MC Fullstop |,Raila Azimio,[0.1894803  0.58758795 0.22293176]
AllenNext,  2027 youll still demand IEBC open server Nobody take seriously anymore even international community sad humiliate way end political career,Raila MaandamanoThursday MaandamanoMonday MaandamanoThursdays,[0.94981784 0.03991864 0.01026343]
MacMulley,  feel pain voice Raila need pay damage cause cant continue tactic Maandamano,MaandamanoThursdays,[0.8997937  0.08284661 0.01735982]
oukois1,  Raila mania,MaandamanoThursdays Maandamano,[0.42025098 0.32029337 0.25945565]
muthini2015,  Kwee Farewell Home vandalize equipment steal KISUMU,MaandamanoThursdays,[0.7238932  0.23539    0.04071684]
MuthokaTito,  🤣 🤣 🤣 🤣 🤣 🤣 🤣 know tenant protest presence protestors agenda must agend,Maandamano MaandamanoThursdays,[0.342382   0.39859736 0.25902066]
OWINOOSCAR4,  Jokanyanamdo destroy home town development name maandamano baba didnt mean protect development costarrest thug take advantage maamdamano let security sad overboard,Azimio,[0.6099944  0.24669734 0.14330828]
odindomarvin,  Today protester loot MORGUE Jaramogi Oginga Odinga hospital Kisumu seem even dead rest peace Raila lose election,MaandamanoThursdays Maandamano MaandamanoMondays,[0.8194476  0.1439484  0.03660402]
Giftedzoom,  Kindly kama unaenda towards Donholm usiende kaa tu penye uko looter steal anyone sight,MaandamanoThursdays Kibra RailaOdinga,[0.72684366 0.19653128 0.07662507]
RailaOdinga,  grateful Residents Pipeline selflessly pour water highrise flat douse team intense teargas Mubarikiwe,MaandamanoThursdays,[0.2395663  0.42983916 0.33059448]
Rachetoh,  Shock Kisumu protester loot supermarket mortuary Yaani hadi kwa morgue tena mnaraid Weuh much nah Outering Road Kisumu,MaandamanoThursdays Raila,[0.92869955 0.05656339 0.01473703]
pic_speak,  Railas car shoot Raila die today point man must bury long supporter cause chaos funeral Outering road | Tassia | Pipeline | William Ruto,Maandamano MaandamanoMondays MaandamanoThursdays,[0.8694659  0.11597755 0.0145565 ]
thatchicpinniey,  Police Oyugis look landcruiser quietly repossess taxpayer leave engine run waste expensive fuel,outeringroad MaandamanoThursdays,[0.78381366 0.17122531 0.04496111]
ArthurMbugwa2,  human survive one kidney oppose usual two surely possible survive one lung fail 🤷‍ However lot caution change lifestyle necessary MC Fullstop,MaandamanoThursdays,[0.50872856 0.3913882  0.09988325]
osamaoloo,  desperate success life force desperate help,MaandamanoThursdays,[0.33351517 0.36744863 0.2990362 ]
Asamoh_,  DESTROYING PROPEY CRIMINAL ACT reason police notify arrest loot public private property anywhere,MaandamanoThursdays,[0.9494978  0.04136858 0.00913361]
_MrKaplan1,  kazi mtaani hustler fund sustainable,MaandamanoThursdays,[0.24690288 0.43992567 0.31317142]
kanyineshman,  Runda Mathare,MaandamanoThursdays Raila,[0.24941806 0.612274   0.13830797]
mirrorreflecti9,  Update Kisumu town steal DEAD Yes u hear right morgue vandalize Anyang Nyongo want safe face Azimio leadership feel pain even dead rob,MaandamanoThursdays,[0.8838375  0.08726612 0.02889642]
CoachBill254,  Zakayos portrait fell today Whats take,MaandamanoThursdays,[0.43717048 0.5052212  0.05760831]
_heavyZ,  biatch : Lazima serve ifunguliwe,MaandamanoThursdays PwaniUniversity,[0.16698475 0.6205316  0.21248363]
RashidMohamedK2,  Police shoot three people dead Embakasi East protester destroy amp loot property Police Continue kill People way forward,BREAKING: Jacaranda Nairobi MaandamanoThursdays MaandamanoMondays,[0.76833665 0.20459309 0.0270703 ]
KOT_Loyalss,  Kisumu even loot funeral home Fear people,MaandamanoThursdays,[0.86352116 0.10592843 0.03055042]
sammytkamau,  Mungu Mbele,MaandamanoThursdays,[0.22925493 0.30872753 0.46201757]
EtteKerubo,  mean care employee expose dangerous work environment Helmet bullet proof vest knee pad elbow pad etc,care MaandamanoThursdays Raila,[0.826838   0.15789816 0.01526388]
SaneJohn2,  soon illegitimate regime meet people power head Outering Mambo ilichemuka,MaandamanoThursdays,[0.686273   0.21752359 0.09620338]
authenttick,  Police overpower peaceful Kenyans teargas citizen even demonstrate stop high cost living address Babu Owino Mc Fullstop Pipeline outering road Nakuru Eldoret,Raila Maandamano MaandamanoThursdays,[0.502981   0.30516657 0.19185242]
Limefiber,  Stay connect productive lightningfast speed unbeatable reliability call us LimeFiber 0730 654444 today,fastinternet reliableservice affordablepricing secureonlineeExperience internetforhomeandbusiness MaandamanoThursdays,[0.01558521 0.4986784  0.4857364 ]
Bennyboom486,  SUPPER TUNATOA HAPAA LEO 5+ ODDS 4 GAMES Dont Miss 🤞🤞,NikujaribuTu GamblingTwiitter Demonstrations MaandamanoThursdays pesatips,[0.08631913 0.6424577  0.27122316]
Meshack_namayi,  call day Kesho mkiskia nikinukia cologne safi watu wangu Jua tu ni kazi ya Outering road Pipeline Tassia tumemaliza Asante Baba,MaandamanoThursdays Raila,[0.33035126 0.33218268 0.33746603]
Wiseman000002,  Demos Monday Monday BABA Must Handshake pray mantis need unrest,MaandamanoThursdays,[0.41983348 0.35586894 0.22429757]
tom_mule,  Violence Jacaranda B Center night youth burn car storm house till,MaandamanoThursdays,[0.8699687  0.11771761 0.01231376]
TestTFBC,  truth absolute regardless support think open server superior supreme court verdict go create chaotic country,Azimio Ukraine Kojoforex 라잌크레이지엠카1위축하해,[0.43727228 0.37141204 0.19131567]
degit_world,  Looking perfect sexy classy ampof course high processing power laptop business school personal use get cover Visit us amp get HP Envy 17 low KSH 115000,degitworldelectronics MaandamanoThursdays Maandamano Nairobi,[0.06262983 0.62960356 0.3077666 ]
mirrorreflecti9,  Enough enough Hon Kimani Ichungwa say destruction property well injury member public journalist policeman,ArrestRaila MaandamanoThursdays,[0.64676917 0.28834268 0.0648882 ]
2MBILIMFALME,  WATCH PWANI UNIVERSITY ACCIDENT SCENE RAILA OUTERING ROAD SIAYA PIPELINE IMARA DAIMA NAIVASHA,MaandamanoThursdays KISUMU,[0.57345414 0.27696437 0.14958146]
IGNateM,  Timid men prefer calm despotism tempestuous sea liberty Thomas Jefferson,Tassia MaandamanoThursdays,[0.56925833 0.29030323 0.14043847]
Wabayee,  organized criminal use run hustle Business people hard time general especially Nrb Raila amp diehard give Nabii hard time Lets see Nabii respond,Maandamano MaandamanoThursdays MaandamanoMondays,[0.42855152 0.31372505 0.25772348]
CapitalFMKenya,  law fine Wakili share legal take,MaandamanoThursdays TheLegalInsider QuickOneWakili,[0.25713885 0.4771182  0.2657429 ]
_Moses_A,  Seriously even morgue,MaandamanoThursdays,[0.8297666  0.12606326 0.0441702 ]
bonventure21,  Kesho Majaaliwa Movie inaendelea,OuterRingMMO MaandamanoThursdays Stringed,[0.24793454 0.5019217  0.25014368]
Thee_Gixx,  Click Tyga Pwani University Condolences Maxine Wahome,MaandamanoThursdays,[0.14611204 0.44248927 0.4113987 ]
Bonjoviey,  demonstration smell long holiday come soon unatoka ofisi Wed unarudi Tue know know,MaandamanoThursdays,[0.17743568 0.4705119  0.35205245]
authenttick,  MADNESS ENTIRE NATION DISTURBS SOLITARY MIND ENOUGH SAY PERSON MAD~Francis Nakuru Outering Road,Raila Maandamano MaandamanoThursdays,[0.93431824 0.05315668 0.01252501]
KevmahMaish,  Kisumu slum demonstrator area Azimio Commands command,MaandamanoThursdays,[0.78705937 0.19320664 0.01973396]
FrontdevDude,  main concern outcome protest number people attend demonstration especially week day mfs get nothing probably nothing lose,MaandamanoThursdays,[0.8016445  0.17139658 0.02695897]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Jeshi_LaBABA,  ULTIMATE POWER BELONGS PEOPLE,MaandamanoThursdays,[0.08321568 0.23115365 0.6856306 ]
MKENYA_SHUJAA,  clear Raila one Kenyatta ’ land organise Quite unfortunate,NorthlandsInvasion Maandamano MaandamanoThursdays,[0.9482479  0.04054689 0.01120524]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
OmaribaKE,  Raila Odinga allege assassination attempt say car shot 7 time live bullet,MaandamanoThursdays,[0.774398   0.19776988 0.02783212]
GabrielDolan1,  thug thief take advantage Azimio fast lose public support Better discover smart effective protesting forget,MaandamanoThursdays,[0.7472501  0.19033045 0.0624195 ]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
NoelKasewo,  Rest peace,RipAhoufe MaandamanoThursdays,[0.32132998 0.3425512  0.3361188 ]
254_exclusive,  Monday mkitupea izi vitu Kazi ingine mtuachiewe clear way hadi cbd,Ukraine Raila MaandamanoThursdays,[0.37405273 0.39405757 0.23188965]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Starty_KE,  Ati Baba ASASEMA Whats Shosh,MaandamanoThursdays,[0.24447124 0.47039804 0.28513074]
OKendrick0,  enjoy humiliation meted inhale toxic fume hostage fair within constitution Aluta continuum,MaandamanoMondays,[0.736098   0.18472199 0.07917998]
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
JaneFKyalo,  pissed rn dont need negative energy Meanwhile start Monday,MaandamanoMondays,[0.45324266 0.4298266  0.11693072]
Rush_254, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
RuudInKenya,  attack behind act willful ignore act within frame Bill Rights,MaandamanoThursdays Nairobi,[0.6325814  0.3321421  0.03527645]
authenttick,  Youths Outering Road Nairobi breathe fire Police deploy chase protective gear grab try barricade road block convoy Edwin Sifuna Eldoret Gatundu Maxine Wahome Babu Owino,Azimio Raila Maandamano MaandamanoThursdays,[0.43334913 0.42035696 0.1462939 ]
PopularStories_,  Outering Road,Maandamano MaandamanoThursdays,[0.3507537  0.4876695  0.16157676]
TalibDaishin,  much Mzee hat Somalis,MaandamanoThursdays,[0.81596696 0.11833708 0.06569597]
Dr_LeNoir_,  shambolic act rob people broad daylight demonstration peddle young people take advantage demonstration,MaandamanoThursdays,[0.8692156  0.09810208 0.03268224]
BigKahunar,  IGP arrest ASAP Raila law lakini still continue bring cost living,MaandamanoThursdays MaandamanoMondays,[0.8247626  0.14477897 0.03045841]
ViralTeaKe,  NPS term claim propaganda spread across social medium platform add malicious meant cause fear among member public,MaandamanoThursdays,[0.86067045 0.11647712 0.02285241]
lord_violence2,  also random meeting without announce go mobilization definitely fear sniper might track,MaandamanoThursdays,[0.7798314  0.19942516 0.02074347]
lord_violence2,  Raila Odinga address People door car last two demonstration despite car sunroof,MaandamanoThursdays,[0.41299966 0.39241526 0.19458508]
ItsMJ254,  Kenyans angry appointment illegal CASs like Omanga Kidero chew tax tune ksh 470M+ every year,MaandamanoThursdays,[0.8722149  0.10780821 0.01997687]
RadaNiBaba22,  Eastlando leo wameambia Kibrahold drink kaende sana,PlayOfTheDay MaandamanoThursdays,[0.37735602 0.44067046 0.1819735 ]
