username,lemmatized_text,extract_hashtags,labels
Midila_Thunder,  Urgly scene Kenya Police,MaandamanoMondays Maandamano,[0.93014586 0.04850949 0.02134464]
KalosSays,  UDA bring bill charge looting damage demonstration political party fund way organizer take care protestant,MaandamanoThursdays Raila SenileWelder,[0.53040737 0.39531538 0.07427727]
KelvinSotsi,  justification exist brutality resident Pipeline endure afternoon Ruto Gachagua day numbered count well ~ Raila Odinga,MaandamanoThursdays,[0.62114936 0.2859253  0.09292534]
MusyimiKe,  Police act like dont know plan attack respond damage do either intelligence department someone tell ignore Kedong Ranch RIP Comrades,MaandamanoThursdays,[0.871507   0.10800349 0.02048955]
jashal_medicare,  MoneyEasily marketing network $ 14 million pay 300k member MoneyEasily let regular user make money social medium friend Thika Road Babu Owino,1 Maandamano MaandamanoThursdays,[0.13977641 0.5885613  0.27166224]
TheBlessedOne24,  Im look job receptionist/Office admin within Nairobi cbd Contact 0768931000/blessedlin111 Karen Eldoret Eric Omondi Babu Owino Dj Faxto RIP Northlands Raila Uhuru Pwani University Nairobi Maxine Wahome Amber Ray,AmChamBizSummit MaandamanoThursdays,[0.22878014 0.6447718  0.12644804]
Moha87574655,  Goon say others bad manner,MaandamanoThursdays,[0.74329007 0.18762997 0.06908003]
K24Tv,  Dan Kibet : Let solider make lot progress 6 month compare previous regime Mr President derail sure time everything come play support fully,MaandamanoThursdays K24Siasa,[0.20274188 0.3230025  0.47425562]
osamaoloo,  Stop overconsuming Food eat satiate hunger dissipate emotion Media optimize feed education entertainment Books read gain hindsight introspect gain insight write gain foresight,MaandamanoThursdays,[0.11757486 0.39566028 0.48676482]
MoishyleezKevin,  scene outering road ugly turn bad part country way go Kenya,MaandamanoThursdays,[0.93829554 0.04650357 0.01520091]
GovOparanyaFan,  Rutos action foolish must understand voice people voice God shall come home roast,MaandamanoMondays Maandamano MaandamanoThursday,[0.7153836  0.18834054 0.09627587]
waza_news,  challenge parent understand circumstance know measure take help child kid learning disability thing :,disabilitystudies learning Nairobi Raila MaandamanoThursdays,[0.28940868 0.58860904 0.12198226]
KiguruKimani,  President announce opening vaccine manufacturing plant Kenya first one kind Africa Government move rate match,KenyaKwanza Azimio,[0.12039887 0.5868822  0.29271895]
NationAfrica,  Azimio leader Karen currently gather meeting expect hold medium briefing moment,MaandamanoThursdays: Maandamano,[0.08657744 0.78606844 0.1273541 ]
muniu_ke,  opposition demand lot use high cost live lure us demonstration know sure violent protest cause harm economy,Maandamano MaandamanoMondays MaandamanoMonday,[0.8812762  0.08944461 0.02927915]
TradearlNewsSvc,  Police lob tear gas protester Outer Ring Road Azimio antigov ’ protest continue,MaandamanoThursdays TradearlNews,[0.52208227 0.38334617 0.09457158]
c_bwibo,  evident Kenyans allergic yellow fever country anything yellow must go,maadamanoonthursday babuowino azimio pipeline Nairobi,[0.8794702  0.10623181 0.0142979 ]
NevilNiga,  report live Outering Road guardrail railway fence Sad scene,MaandamanoThursdays,[0.9091782  0.07952011 0.0113017 ]
JmMusoma,  Azimio supporter chase police stop folowing RailaKalonzoKaruaBabu Owino others Pipeline Embakasi South,Maandamano MaandamanoMondays MaandamanoMonday Maandamanothursday,[0.60469764 0.33291236 0.06238991]
KamogaMunawa,  Kenya,MaandamanoMondays,[0.37459528 0.38123018 0.24417453]
Tasha_ke746,  Never miss basketball slips🥳 Theyre always 99 % sure Ill drop one slip 🤞 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila,[0.23326309 0.36014423 0.40659273]
nichomaingi,  go Pipeline cause chaos leave Karen peace Next time start Stop lying Kenyans,MaandamanoMondays Maandamano,[0.8456248  0.12059994 0.03377524]
Austinejuma001,  Urgly scene Kenya Police tire,MaandamanoThursdays,[0.9450547  0.04118494 0.01376034]
zteedz,  go zone,donholm Maandamano maandamanothursdays,[0.2915601  0.37559047 0.33284938]
K24Tv,  Police protestors engage Outer Ring road,MaandamanoThursdays K24Siasa,[0.37197882 0.526137   0.10188419]
MsPoliticianKe,  Rutos potrait fall walk God clearly say Ruto NEVER choice fall come soon,MaandamanoThursdays Raila DjFatxo misstrudy teachers,[0.26954678 0.5322092  0.19824399]
MukuruSPA,  Current State pale Outering Road Pipeline Big Pipeline resident pour water protester police teargas Watu wa pipeline hawajazoea teargas Raila Odinga unpredictable,MaandamanoThursdays,[0.7665285  0.18530384 0.0481676 ]
cabdinassir,  justification exist brutality businessman endure afternoon Kisumu Hii ndio maana ya,MaandamanoMondays MaadamanoThursdays,[0.48922738 0.39006644 0.12070613]
theafricanwatc_,  Azimio leader pen condolence message Pwani University fraternity follow fatal accident along NairobiNakuru highway today Thursday 30 March 2023 Atleast 14 people succumb accident,RailaOdinga,[0.6139677  0.28790417 0.09812813]
MoishyleezKevin,  wrong,MaandamanoThursdays,[0.45114192 0.35536844 0.19348961]
NationAfrica,  Railas convoy along Ngong Road clear head Azimio coalition 6pm end demonstration day accord Constitution,MaandamanoThursdays: Maandamano NationLiveBlog,[0.18815564 0.6232846  0.18855983]
tsimunga,  Even police afford high cost living fight citizen fight,Baba azimio Maandamano,[0.5728562  0.31264874 0.11449507]
CaptainKipkorir,  UDA office Siaya set ablaze peaceful protester day Kisumu UDA office make clear UDA office Babu Owino Gatundu Winnie Odinga Trade CS Moses Kuria Westlands Kayole,Azimios Raila MaandamanoThursdays Azimio,[0.38699332 0.37415433 0.23885237]
magwaz3,  Hell break loose police Outering Road Nairobi provoke peaceful youth even protest come barricade Outer Ring road block convoy lead Odinga Narok Kedong Ranch Babu Owino Siaya UDA Kisumu,Azimio Raila,[0.4251063  0.34861413 0.22627962]
OnguruMeister,  SM people dont listen word Gospel,MaandamanoThursdays,[0.6991866  0.27757725 0.02323621]
ChristineMangi,  Scenes Outer Ring Road : Heavy police presence police lob tear gas protester Cows catch melee,MaandamanoThursdays,[0.51609653 0.4109803  0.0729232 ]
kipRuto_Ruto_,  Pwani University May lost live RIP,Azimio dpgachaguaspeaks,[0.8505797  0.12869775 0.02072259]
TalibDaishin,  Like agree retweet disagree,MaandamanoThursdays,[0.14511363 0.5704338  0.2844526 ]
Peterz_Model,  Finally people thought one side Pwani University Siaya,MaandamanoThursdays Raila,[0.3253857  0.40097412 0.27364013]
nellobando,  know Raila control half country even hustler side join life unbearable,MaandamanoMondays,[0.4226848  0.25710058 0.32021466]
Hurdsonmatata,  lose country show violent scene encourage commentate happily Kids watch Shame,MaandamanoThursdays,[0.84356093 0.11526708 0.04117204]
NabwanaSanya,  Kenya Police BRUTE apply Northlands farm MondayInstead energy misguide,MaandamanoThursdays,[0.4641951  0.4773972  0.05840776]
ItsGlado,  Direction important speed people go nowhere fast,MaandamanoThursdays,[0.5349798  0.3823056  0.08271458]
HajjAbdiwahid,  justification exist brutality resident Pipeline endure afternoon Ruto amp Gachagua day numbered amp count well,MaandamanoThursdays,[0.57579947 0.3227043  0.10149629]
SanyaNabwana,  Kenya Police BRUTE apply Northlands farm MondayInstead energy misguide,MaandamanoThursdays,[0.4641951  0.4773972  0.05840776]
Happy_kulayo,  Raila know deal crowd,MaandamanoThursdays,[0.2575904  0.5191531  0.22325647]
derrickodhis,  people Embakassi East Republic wait Raila Odingas motorcade rally Imara Daima Jacaranda Going pipeline uber risk,Maandamano maandamanothursdays,[0.36457917 0.5100897  0.12533112]
KBCChannel1,  Isiolo resident say demonstration Azimio supporter take street third time,TheGreatKBC MaandamanoThursdays,[0.59807575 0.34883532 0.05308891]
SanyaNabwana,  Embakasi,maandamanoThursdays,[0.5471501  0.3448558  0.10799419]
Onlineoptimize1,  majaruos Oyugis run away police land cruiserBabu Owino Pwani University,MaandamanoThursdays Raila,[0.36068127 0.50676143 0.1325573 ]
JohnChama_ke,  Kuna hii group ilikuwa inaitwa GSU,MaandamanoThursdays,[0.1660475  0.77076584 0.06318668]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
mwanawassa,  May God Bless Protect Babu Owino//Paul Ongili future might Deputy President,MaandamanoMondays,[0.11001982 0.36357036 0.5264098 ]
NabwanaSanya,  Embakasi,maandamanoThursdays,[0.5471501  0.3448558  0.10799419]
it_kibe_,  demonstrate halt business county Golden opportunity loot Raila respect luo business men Kenyattas Luo v luo RIP Narok | Gatundu | Kayole,MaandamanoThursdays Raila,[0.29712245 0.344327   0.35855058]
Hylovveee,  case country slip cliff three individual accountable president interior minister IG,RailaOdinga Ruto Demonstrations,[0.54642403 0.39589688 0.05767908]
aludacyprian,  Hii ni msafara ya Ngombe 🤣🤣 na wananchi pale outer ring wanakimbiza Polisi,MaandamanoThursdays,[0.66649294 0.25457993 0.0789271 ]
VinnieKinkade,  civilized society like France demos do Pwani University Siaya Pipeline Kisumu Imara Daima,MaandamanoThursdays Raila,[0.33711937 0.45978656 0.20309405]
SallyBolo,  shall bow shall never backdown understand journey freedom liberation isnt walk park Pictures convoy encounter Police pale Pipeline Nairobi Aluta Continua,MaandamanoThursdays,[0.19015536 0.60927635 0.20056829]
keysha_bubs1,  Rubber bullet,Kisumu raila Maandamano MaandamanoThursdays thikaroad babuowino,[0.4104466  0.45870706 0.13084632]
OnguruMeister, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
IanSeli,  eat live amp raw ant Queen watch disbelief shock,MaandamanoThursdays,[0.3798307  0.3619365  0.25823286]
cytokings,  discuss anyone avoid waste breath time find person align politically first save big time Otherwise mtaargue whole day,MaandamanoThursdays,[0.40788305 0.41863123 0.1734857 ]
DeejaySylar,  Itabidi zakayo ashuke sasa,MaandamanoThursdays,[0.48657253 0.33313805 0.18028942]
RailaOdinga,  justification exist brutality resident Pipeline endure afternoon Ruto amp Gachagua day numbered amp count well,MaandamanoThursdays,[0.57579947 0.32270432 0.10149628]
otieno_tester,  Watu wa Eastlandtao wako strand mat,MaandamanoThursdays,[0.77413535 0.18653621 0.03932847]
Ni_Knotty,  Mkenya anatetea haki yake police act like law,ungaishuke Police MaandamanoThursdays,[0.54848564 0.30579722 0.1457172 ]
SirMwangala,  1hr end,MaandamanoThursdays,[0.32650602 0.52307427 0.15041973]
solo_ambuku,  Na si uongo total madness whore cherish stupidity rue day country finally cross precipice nobody win Maintain regret late 🤕🥲,Maandamano LawAndOrder MaandamanoThursdays,[0.8736515  0.08189093 0.04445758]
3t1kd,  Asanteni sana Thuggery sponsor Co asanteni sana kwa,Azimio MaandamanoMondays MaandamanoThursdays,[0.3704143  0.29541048 0.3341752 ]
keysha_bubs1,  Quick recovery,raila maans MaandamanoThursdays Maandamano thikaroad Northlands babuowino narok RIP,[0.21822087 0.46372393 0.31805518]
Happy_kulayo,  sad Poor Kenyans suffer Maandamano continue Thugs take advantage Maandamano steal hardworking Kenyans Pole sana,MaandamanoThursdays,[0.9217003  0.06299976 0.01530003]
KenyaNiYetuSote,  mene mene tekel upharsin,MaandamanoThursdays,[0.3430949  0.3348037  0.32210138]
waza_news,  Azimio protester expect take street today third time irritate eye nose throat skin result symptom like tear cough trouble breathing,azimio MaandamanoMondays RailaOdinga teargas,[0.8994706  0.08593698 0.01459236]
3t1kd,  Thuggery sponsor Co asanteni sana kwa,MaandamanoMondays MaandamanoThursdays,[0.3192508  0.43273118 0.24801806]
K24Tv,  Journalists KTN NTV injured medical center Eastlands,MaandamanoThursdays K24Siasa,[0.8603223  0.12908843 0.01058926]
KWC_Congress,  Todays demonstration peaceful police become unruly throw teargas demonstrator,MaandamanoThursdays,[0.67816204 0.23367566 0.08816224]
Hurdsonmatata,  SHUT immediate effect INCITEMENT HIGHEST ORDER promote violence oil brewing anarchy allow spiral,MaandamanoThursdays,[0.8434193  0.13021332 0.0263674 ]
iam_randiki,  big question government police,DateWithDestiny MaandamanoMondays MaandamanoThursdays,[0.74500346 0.21669967 0.03829684]
Ifrahmile46,  Tear gas hadi dani ya ploti,MaandamanoThursdays Raila pipeline,[0.30250666 0.34206367 0.35542968]
SosPee_Tvee,  NTV journalist,MaandamanoThursdays,[0.29102886 0.4967395  0.21223165]
HILLA254, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
obareh,  police actually protect life protect property suppressing citizen,raila MaandamanoMondays,[0.26304403 0.3407236  0.39623237]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
itsaguk,  Baba pure love even Nabii buy,Maandamano MaandamanoThursdays,[0.24078771 0.33192515 0.42728713]
ViralTeaKe,  antiriot police officer tumble fire teargas canister disperse protester along Outering Road,MaandamanoThursdays,[0.6313805  0.28859693 0.08002255]
IanSeli,  Luos burn building belonging fellow luo rent UDA Siaya,MaandamanoThursdays,[0.74087495 0.22738248 0.03174254]
ReimondKipkesio,  Majority protest thief rid wave achieve heinous objective,Azimio Maandamano,[0.8087771  0.13528651 0.0559364 ]
cokoth95,  mama mboga understand employee allocate share areby way manifesto Please usiwe kaongo kama mwingine,MaandamanoThursdays,[0.38280886 0.37101272 0.24617837]
DVanske,  Babu know well leader V8 safe mean poor wananchi ’ care many stupid follower die Babu shooter ’ care care baba government Na mtaumia kama Raila amenyamaza,Maandamano MaandamanoThursdays,[0.6571857  0.2305828  0.11223158]
Colloeog,  Ought find chemical pink liquid forcibly pour peaceful protestors Babu Owino Pwani University Narok,MaandamanoThursdays MaandamanoMondays Maandamano,[0.31473437 0.46417728 0.2210883 ]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
jkroume_ke,  Protestors breach police barricade along Outering road force antiriot officer retreat,Maandamanothursdays,[0.8745034  0.106735   0.01876161]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
MoniSholoma,  Gachagua : Mimi ni mtoto ya mau mau Also Gachagua : || Pwani University || || Siaya || Pipeline || Imara Daima,MaandamanoThursdays Raila,[0.15961336 0.6603726  0.18001398]
Tasha_ke746,  Wow Love 🥳 Congratulations whoever played🥂🥂 deserve Turn notification free tip Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.17152597 0.20949787 0.6189762 ]
PopularStories_,  Maandamano Demonstrators Oyugis disappear Police landcruiser broad daylight,MaandamanoThursdays,[0.7200655  0.2574444  0.02249015]
RobertAlai,  Hello gang,MaandamanoThursdays,[0.13922884 0.38819486 0.47257623]
iam_randiki,  power democracy hand people ongoing protest Kenya show citizen afraid demand accountability transparency government,KenyaProtests DateWithDestiny MaandamanoThursdays MaandamanoMondays,[0.4434719  0.34061608 0.21591207]
martine_caleb,  Kenya lack professional police force cognizant fact picketing constitutional right hurl teargas canister peacefully protest Kenyans unacceptableWhat happen Pipeline terrible,MaandamanoThursdays NTVNews,[0.9530486  0.03528645 0.01166492]
AzimioTv,  entire Azimio family grateful Residents Pipeline selflessly pour water highrise flat douse team intense teargas Mungu awabariki,MaandamanoThursdays,[0.1924089  0.31844047 0.4891506 ]
Mwakina_,  Guys peaceful today demonstrate picket peace see police officer Shame Ruto Gachagua,MaandamanoThursdays,[0.29063556 0.29653034 0.4128341 ]
litkenyanews,  Scary Watch : Video Pwani University Bus Seconds Crash Emerges Martha Karua Westlands Babu Owino Narok Maxine Wahome Trade CS Moses Kuria Gatundu Karen Kayole Winnie Odinga Runda Amber Ray William Ruto,azimio Raila,[0.69565463 0.26755732 0.03678798]
Sam_Lulli,  Jacaranda vijana walikua na kiu sana Sasa wanapigana wenyewe kwa wenyewe tu unaware Baba nolonger come,MaandamanoThursdays,[0.64567864 0.25118628 0.10313506]
CosnameTv1,  RIP Pwani university Comrades 14 people dead accident involve Pwani University bus matatu along NairobiNaivasha Highway,Raila JKLive MaandamanoThursdays Nairobi,[0.8342345  0.14750816 0.01825739]
